Baseline 100%T,,UV_511359d7-df0d-4018-bfee-ff58585b5809,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
421.9832764,0.5313557386,421.9832764,-0.03851956502,
421.4814758,0.5181447268,421.4814758,-0.03759295866,
421.0182495,0.5166567564,421.0182495,-0.03424526006,
420.5163574,0.5327005386,420.5163574,-0.03920382261,
420.0144958,0.5432604551,420.0144958,-0.0367369689,
419.5125122,0.5366235971,419.5125122,-0.04217976332,
419.0105286,0.5370110273,419.0105286,-0.04279265553,
418.5085144,0.5369392037,418.5085144,-0.04427981004,
418.0064392,0.5439171195,418.0064392,-0.04007555172,
417.5042725,0.530878067,417.5042725,-0.03679466993,
417.0021057,0.5366135836,417.0021057,-0.03718981519,
416.4999084,0.5421867967,416.4999084,-0.0496676974,
415.9976807,0.5348010659,415.9976807,-0.04143862799,
415.4953613,0.5366886258,415.4953613,-0.03942202777,
414.9930725,0.5368986726,414.9930725,-0.03551825881,
414.4906921,0.5271440148,414.4906921,-0.05195679516,
413.9881897,0.533362031,413.9881897,-0.03898910806,
413.4857788,0.5315092802,413.4857788,-0.04705593362,
412.9832764,0.5352521539,412.9832764,-0.04574539512,
412.4807129,0.5351036191,412.4807129,-0.03447562456,
412.0167847,0.5339206457,412.0167847,-0.02884581126,
411.5141296,0.523676753,411.5141296,-0.03686344624,
411.0114746,0.5280202031,411.0114746,-0.04129332677,
410.5087891,0.5265674591,410.5087891,-0.04092880711,
410.0060425,0.52959162,410.0060425,-0.04275277629,
409.5031738,0.5340766311,409.5031738,-0.04174756259,
409.0003967,0.5366780162,409.0003967,-0.04034182057,
408.4974976,0.5382399559,408.4974976,-0.03405794874,
407.9945984,0.5391053557,407.9945984,-0.03218061849,
407.4916077,0.5300890207,407.4916077,-0.03590326756,
406.9886169,0.532563448,406.9886169,-0.04023706913,
406.4855957,0.5277451873,406.4855957,-0.04290518537,
405.9824524,0.5218348503,405.9824524,-0.04645387083,
405.5180664,0.5345279574,405.5180664,-0.03818428516,
405.0148621,0.5350546241,405.0148621,-0.03633312881,
404.5116577,0.5344293714,404.5116577,-0.03514847159,
404.0084229,0.5340839624,404.0084229,-0.04017878324,
403.505188,0.5409741998,403.505188,-0.04158684239,
403.0018311,0.5441502929,403.0018311,-0.04147834331,
402.4984436,0.5430553555,402.4984436,-0.04422730207,
401.9950562,0.5430917144,401.9950562,-0.03351800516,
401.4915771,0.5360790491,401.4915771,-0.03837627172,
400.9880981,0.534730792,400.9880981,-0.03415477276,
400.4845581,0.5310741067,400.4845581,-0.04243892059,
